rank,feature,perm_importance,grad_importance,variance,zero_rate,mean,std
42,B1_weight_diff,0.00049171,0.00399255,3.58809304,0.0047,-0.044728,1.894226
43,B4_approach_4,0.00048003,0.02994535,0.08299156,0.0913,0.908667,0.288083
44,B1_local_win_rate,0.00043716,0.00382798,4.71568108,0.1130,4.887000,2.171562
45,G_venue_id,0.00037425,0.03347385,0.08744792,0.0000,0.525764,0.295716
46,B5_approach_6,0.00027661,0.01741719,0.06710122,0.9277,0.072333,0.259039
47,B2_weight_diff,0.00026405,0.00599327,3.84394717,0.0023,0.051306,1.960599
48,B2_approach_2,0.00025148,0.02803220,0.04479099,0.0470,0.953000,0.211639
49,B3_approach_3,0.00023661,0.03155690,0.06193323,0.0663,0.933667,0.248864
50,B4_approach_5,0.00023301,0.02235545,0.04206400,0.9560,0.044000,0.205095
51,B6_weight_diff,0.00018742,0.00326974,4.08398294,0.0037,-0.031094,2.020887
52,B6_tilt,0.00018306,0.01819213,0.02907457,0.3790,-0.057167,0.170513
53,G_wind_E,0.00017354,0.00830601,0.13303599,0.8420,0.158000,0.364741
54,B3_class_A1,0.00015187,0.00397809,0.17492399,0.7740,0.226000,0.418239
55,B4_weight_diff,0.00014162,0.00280109,3.94072461,0.0033,0.031206,1.985126
56,B4_tilt,0.00012538,0.02263119,0.01914190,0.3917,-0.072500,0.138354
57,B6_class_A1,0.00012441,0.00874837,0.16686387,0.7883,0.211667,0.408490
58,B4_approach_6,0.00011854,0.01239397,0.02119722,0.9783,0.021667,0.145593
59,B6_approach_5,0.00011156,0.01077702,0.06937501,0.9250,0.075000,0.263391
60,B3_class_B1,0.00010581,0.00355953,0.24985600,0.4880,0.512000,0.499856
61,B5_win_rate_rel,0.00010469,0.00317448,1.29612470,0.0007,-0.206765,1.138475
62,B2_class_B1,0.00009565,0.00322844,0.24999985,0.5003,0.499667,0.500000
63,B6_approach_4,0.00008781,0.01446225,0.01542122,0.9843,0.015667,0.124182
64,B2_approach_3,0.00008667,0.01984347,0.03377500,0.9650,0.035000,0.183780
65,B5_tilt,0.00008049,0.01598340,0.01999800,0.3820,-0.074611,0.141414
66,B3_approach_4,0.00007761,0.01583168,0.03501322,0.9637,0.036333,0.187118
67,B4_win_rate_rel,0.00006938,0.00392157,1.07118869,0.0007,-0.034458,1.034982
68,G_wind_speed,0.00006814,0.02085135,0.03846794,0.0720,0.301433,0.196132
69,B1_approach_1,0.00006549,0.01531475,0.00957322,0.0097,0.990333,0.097843
70,B4_class_B2,0.00006392,0.00664578,0.05932222,0.9367,0.063333,0.243562
71,B5_class_A2,0.00006337,0.00404465,0.16609320,0.7897,0.210333,0.407545
72,B2_approach_4,0.00006335,0.01486191,0.00596400,0.9940,0.006000,0.077227
73,B5_approach_4,0.00006049,0.01704815,0.03346489,0.9653,0.034667,0.182934
74,B6_approach_2,0.00006008,0.01757992,0.00826389,0.9917,0.008333,0.090906
75,B1_approach_2,0.00005827,0.01527826,0.00826389,0.9917,0.008333,0.090906
76,B6_class_A2,0.00005615,0.00569598,0.17817599,0.7680,0.232000,0.422109
77,B3_class_A2,0.00005534,0.00211616,0.17619723,0.7717,0.228333,0.419759
78,B4_class_A2,0.00005414,0.00539623,0.17419156,0.7753,0.224667,0.417363
79,B5_parts_changed,0.00005300,0.00331119,0.04659900,0.9510,0.049000,0.215868
80,B3_weight_diff,0.00005300,0.00250745,3.94324827,0.0030,-0.013628,1.985761
81,B2_class_A1,0.00005257,0.00500039,0.17290123,0.7777,0.222333,0.415814
82,B6_exhibition_time_diff,0.00005231,0.00990534,0.07577767,0.0073,0.002529,0.275277
83,B3_approach_5,0.00005183,0.01324565,0.00563456,0.9943,0.005667,0.075064
84,B2_approach_1,0.00005043,0.01702797,0.00365322,0.9963,0.003667,0.060442
85,B2_parts_changed,0.00004864,0.00703606,0.04539456,0.9523,0.047667,0.213060
86,B6_approach_3,0.00004852,0.00845448,0.00695100,0.9930,0.007000,0.083373
87,B4_class_B1,0.00004745,0.00408560,0.24999595,0.5020,0.498000,0.499996
88,B5_class_A1,0.00004687,0.00663821,0.15959956,0.8007,0.199333,0.399499
89,B6_class_B2,0.00004673,0.00230287,0.12183600,0.8580,0.142000,0.349050
90,B6_class_B1,0.00004416,0.00395126,0.24266121,0.5857,0.414333,0.492607
91,B4_class_A1,0.00003903,0.00534460,0.16820399,0.7860,0.214000,0.410127
92,B5_approach_2,0.00003798,0.01112004,0.00891900,0.9910,0.009000,0.094440
93,B2_tilt,0.00003626,0.01288428,0.01055525,0.3753,-0.089444,0.102739
94,B4_parts_changed,0.00003479,0.00332926,0.04779989,0.9497,0.050333,0.218632
95,G_wind_SE,0.00003364,0.00534080,0.07191601,0.9220,0.078000,0.268172
96,B2_exhibition_time_diff,0.00003273,0.00262142,0.12630756,0.0097,-0.018137,0.355398
97,G_wind_SW,0.00003142,0.00361034,0.10736789,0.8777,0.122333,0.327670
98,B1_avg_st,0.00003059,0.02348620,0.00049244,0.0010,0.159400,0.022191
99,G_wind_calm,0.00002949,0.00379051,0.06681599,0.9280,0.072000,0.258488
100,G_wind_NE,0.00002759,0.00343927,0.12982224,0.8467,0.153333,0.360309
